pmi	raw_freq	raw_co	cw
0.58983016	17397	32	jacket/n
1.571227	825	4	jalapeno/n
-0.3259054	4086	3	jam/v
-0.89186823	14403	6	jane/n
2.098327	120	1	javelina/n
-1.0667402	8531	3	jerusalem/n
-0.44107908	15287	10	jet/n
-1.4811653	142797	33	john/n
0.74212176	5125	11	joint/n
-0.94923484	17842	7	joseph/n
2.1318507	17729	151	juice/n
1.9243267	2149	15	juicy/j
0.004553752	43149	44	june/n
-0.18017694	746757	635	just/r
0.82689196	430	1	kauai/n
1.114189	253890	790	keep/v
1.5787165	608	3	keg/n
-1.0471989	139855	50	kid/n
-0.6474057	166455	89	kind/n
-0.58495486	33541	19	kind/r
0.7446952	42876	92	kitchen/n
1.3733569	17140	69	knife/n
-0.8063079	981384	446	know/v
0.09886838	35054	39	la/n
-0.4921144	35183	22	lack/n
0.081734575	19813	22	lack/v
1.6990423	45508	253	lake/n
1.9164841	77281	537	land/n
0.20949762	19058	24	land/v
1.291708	22024	82	landscape/n
0.6464784	190367	371	large/j
-1.1218295	24008	8	largely/r
0.6229554	23097	44	last/v
1.5506874	2495	12	lavender/n
0.9920195	11618	32	lawn/n
0.7558599	53264	116	lay/v
2.1576917	17982	159	layer/n
-1.8611188	94373	15	leader/n
2.7816834	26272	432	leaf/n
-0.13769397	134703	120	least/r
0.5870452	260813	479	leave/v
2.3896146	12015	132	lemon/n
0.07904704	9075	10	lens/n
0.0804028	89322	99	less/r
0.8810089	251545	617	let/v
-0.9396809	65286	26	letter/n
1.5345254	3600	17	lettuce/n
